Step,Training Loss
100,1.633086
200,1.457959
300,1.383392
400,1.311939
500,1.285288
600,1.265666
700,1.270629
800,1.237902
900,1.264492
1000,1.198901
1100,1.218034
1200,1.16979
1300,1.152459
1400,1.151103
1500,1.128224
1600,1.138497
1700,1.125788
1800,1.053391
1900,1.03518
2000,1.070545
2100,1.040931
2200,1.0736
2300,1.048005
2400,1.026138
2500,1.050673
2600,1.047035
2700,1.035717
2800,1.044592
2900,1.04913
3000,1.043539
3100,0.993852
3200,1.034556
3300,0.984441
3400,1.012282
3500,0.989706
3600,0.982791
3700,0.954647
3800,0.953293
3900,0.978541
4000,0.914704
4100,0.928495
4200,0.956211
4300,0.934456
4400,0.901647
4500,0.901581
4600,0.934731
4700,0.925793
4800,0.93986
4900,0.945621
5000,0.935388
